name,mass_mj,radius_rj,period_days,semi_major_axis_au,temp_k,discovery_method,disc_year,distance_ly,star_mass_solar,star_temp_k,remarks,mass_earth,radius_earth,habitability_score,habitability_label
79 Ceti b,0.26,,75.523,0.36,1093.7,radial vel.,2000,123.39,1.11,5757,,82.628,2.32047,39.71812,0
81 Ceti b,5.3,,952.7,2.5,1093.7,radial vel.,2008,331.16,2.4,4785,,1684.34,2.32047,14.71812,0
83 Leonis Bb,0.07,,17.0431,0.12,1093.7,radial vel.,2004,59.4,0.48,4815,,22.246,2.32047,26.71812,0
91 Aquarii b,3.2,,181.4,0.7,1093.7,radial vel.,2003,148.5,1.4,4665,[5],1016.96,2.32047,40.71812,0
94 Ceti b,1.37,,466.2,1.305,1093.7,radial vel.,2003,73.52,1.36,6188,,435.386,2.32047,41.41812,0
AB Pictoris b,13.5,,11.829851,260,1093.7,imaging,2005,163.47,0.9,5378,,4290.3,2.32047,32.71812,0
BD+14 4559 b,1.04,,268.94,0.78,1093.7,radial vel.,2009,161.19,0.49,4864,Proper name Pirx,330.512,2.32047,40.11812,0
BD+20 2457 b,55.59,,379.63,1.05,1093.7,radial vel.,2009,5450,10.83,4259,,17666.502,2.32047,33.71812,0
BD+20 2457 c,12.47,,621.99,2.01,1093.7,radial vel.,2009,5450,10.83,4259,,3962.966,2.32047,14.71812,0
BD-08 2823 b,0.04,,5.6,0.06,1093.7,radial vel.,2009,134.97,0.5,4816,,12.712,2.32047,25.91812,0
BD-08 2823 c,0.33,,237.6,0.68,1093.7,radial vel.,2009,134.97,0.5,4816,,104.874,2.32047,38.31812,0
BD-10 3166 b,0.59,,3.48777,0.04,1093.7,radial vel.,2000,275.97,1.47,5393,,187.502,2.32047,26.11812,0
BD-17 63 b,5.1,,655.6,1.34,1093.7,radial vel.,2008,112.49,0.74,4714,Proper name Finlay,1620.78,2.32047,42.71812,0
Beta Pictoris b,11,1.65,7665,9.1,1612,imaging,2008,64.42,1.76,7099,,3495.8,18.4965,4.8,0
Chi Virginis b,11.09,,835.477,2.14,1093.7,radial vel.,2009,329.36,2.17,4445,,3524.402,2.32047,14.71812,0
CHXR 73 b,12.569,,11.829851,210,1093.7,imaging,2006,623.14,0.35,5600,,3994.4282,2.32047,21.71812,0
CT Chamaeleontis b,17,2.2,11.829851,440,2600,imaging,2007,538.18,0.97,4200,,5402.6,24.662,19.4,0
CoRoT-1b,1.03,1.49,1.5089557,0.02752,1898,transit,2008,2627,0.95,5950,,327.334,16.7029,19.5504,0
CoRoT-2b,3.47,1.466,1.7429935,0.02798,1521,transit,2008,652.33,0.96,5625,,1102.766,16.43386,19.7596,0
CoRoT-3b,21.66,1.01,4.2568,0.05783,1695,transit,2008,2218,1.37,6740,,6883.548,11.3221,13.7566,0
CoRoT-4b,0.72,1.19,9.20205,0.09,1074,transit,2008,2419,1.16,6190,,228.816,13.3399,18.6,0
CoRoT-5b,0.467,1.388,4.0378962,0.04947,1438,transit,2009,2951,1,6100,,148.4126,15.55948,20.9894,0
CoRoT-6b,2.96,1.166,8.886593,0.0855,1017,transit,2009,2144,1.05,6090,,940.688,13.07086,20.71,0
CoRoT-7b,0.01,0.15,0.85359163,0.017016,1756,transit,2009,523.95,0.82,5275,,3.178,1.6815,49.65832,0
CoRoT-7c,0.02643,,3.698,0.046,1093.7,radial vel.,2009,523.95,0.82,5275,,8.399454,2.32047,37.239212,0
CoRoT-9b,0.84,1.066,95.272656,0.4021,420,transit,2009,1363,0.96,5625,,266.952,11.94986,38.07533333,0
DH Tauri b,11,2.7,11.829851,330,2200,imaging,2004,456.63,0.33,3751,,3495.8,30.267,6.6,0
DP Leonis b,6.28,,10220,8.19,1093.7,timing,2009,995.01,0.69,13500,,1995.784,2.32047,28.51812,0
Epsilon Eridani b,1.55,,2502,3.39,1093.7,radial vel.,2000,10.47,0.83,5136,Proper name Ægir,492.59,2.32047,31.31812,0
Epsilon Reticuli b,1.56,,428.1,1.271,1093.7,radial vel.,2000,59.62,1.23,4846,,495.768,2.32047,44.69812,0
Epsilon Tauri b,7.6,,594.9,1.93,1093.7,radial vel.,2006,160.57,2.7,4901,Proper name Amateru,2415.28,2.32047,16.11812,0
Eta2 Hydri b,6.54,,711,1.93,1093.7,radial vel.,2005,221.96,1.91,4970,,2078.412,2.32047,17.91812,0
FU Tauri b,16,,11.829851,800,2375,imaging,2008,456.63,0.05,2838,,5084.8,2.32047,15.71812,0
Gamma Leonis b,8.78,,428.5,1.19,1093.7,radial vel.,2009,125.64,1.23,4330,,2790.284,2.32047,46.31812,0
Gliese 176 b,0.026,,8.7836,0.066,450,radial vel.,2008,30.89,0.45,3679,,8.2628,2.32047,39.26252,0
Gliese 179 b,0.82,,2288,2.41,1093.7,radial vel.,2009,40.31,0.36,3370,,260.596,2.32047,21.91812,0
Gliese 317 b,2.5,,692,1.15,1093.7,radial vel.,2007,49.25,0.42,3510,,794.5,2.32047,40.11812,0
Gliese 436 b,0.07,0.372,2.64388312,0.0291,686,radial vel.,2004,31.83,0.47,3479,,22.246,4.17012,17.30152,0
Gliese 581 b,0.0497,,5.3686,0.04061,1093.7,radial vel.,2005,20.55,0.31,3660,,15.79466,2.32047,21.73032,0
Gliese 581 c,0.0173,,12.914,0.0721,1093.7,radial vel.,2007,20.55,0.31,3660,,5.49794,2.32047,33.36424,0
Gliese 581 e,0.0053,,3.149,0.02815,1093.7,radial vel.,2009,20.55,0.31,3660,,1.68434,2.32047,40.11244,0
Gliese 649 b,0.328,,598.3,1.135,1093.7,radial vel.,2009,33.86,0.54,3700,,104.2384,2.32047,42.81812,0
Gliese 667 Cb,0.018,,7.2004,0.0505,1093.7,radial vel.,2009,22.18,0.33,3350,[6],5.7204,2.32047,32.88732,0
Gliese 674 b,0.035,,4.6938,0.039,1093.7,radial vel.,2007,14.84,0.35,3600,,11.123,2.32047,22.49812,0
Gliese 777 b,1.54,,2915.03687,3.97,1093.7,radial vel.,2003,52.22,0.99,5552,,489.412,2.32047,34.51812,0
Gliese 777 c,0.06,,17.111,0.1304,1093.7,radial vel.,2005,52.22,0.99,5552,,19.068,2.32047,37.12612,0
Gliese 832 b,0.68,,3657,3.56,1093.7,radial vel.,2008,16.21,0.45,3472,,216.104,2.32047,23.71812,0
Gliese 849 b,1,,1882,2.35,1093.7,radial vel.,2006,28.7,0.65,3241,[7],317.8,2.32047,27.71812,0
Gliese 876 c,0.7142,,30.0881,0.12959,1093.7,radial vel.,2000,15.26,0.32,3129,,226.97276,2.32047,23.70992,0
Gliese 876 d,0.021,,1.93778,0.020807,1093.7,radial vel.,2005,15.26,0.32,3129,,6.6738,2.32047,30.18666,0
Gliese 1214 b,0.0197,0.254,1.58040456,0.01411,547,transit,2009,47.78,0.15,3026,"The most likely known candidate for being an ocean planet.[8] Nicknamed ""water world"".",6.26066,2.84734,27.38540889,0
Gliese 3021 b,3.37,,133.71,0.49,350,radial vel.,2000,57.27,0.9,5540,,1070.986,2.32047,58.21256444,1
GQ Lupi b,20,3,11.829851,100,2650,imaging,2004,495.19,0.7,4092,,6356,33.63,14,0
HAT-P-1b,0.525,1.319,4.46529976,0.05561,1322,transit,2006,520.92,1.15,5980,,166.845,14.78599,18.1122,0
HAT-P-2b,8.7,0.951,5.6335158,0.06814,1540,transit,2007,418.31,1.33,6380,Proper name Magor,2764.86,10.66071,14.7628,0
HAT-P-3b,0.65,0.94,2.8997,0.03866,1189,transit,2007,440.59,1.06,5185,Proper name Teberda,206.57,10.5374,19.5732,0
HAT-P-4b,0.671,1.274,3.056536,0.04438,1686,transit,2007,1024,0.56,5860,,213.2438,14.28154,12.0876,0
HAT-P-5b,0.98,1.21,2.78849,0.04073,1539,transit,2007,998.1,1.04,5960,Proper name Kráľomoc,311.444,13.5641,20.0146,0
HAT-P-6b,1.32,1.48,3.85298,0.05239,1675,transit,2007,905.11,1.79,6570,Proper name Nachtwacht,419.496,16.5908,5.2478,0
HAT-P-7b,1.84,1.51,2.20474,0.03676,2733,transit,2008,1124,1.56,6389,Also known as Kepler-2b,584.752,16.9271,9.5352,0
HAT-P-8b,1.28,1.4,3.07634,0.04496,1700,transit,2008,694.21,1.27,6200,,406.784,15.694,15.4992,0
HAT-P-9b,0.749,1.393,3.92281072,0.05287,1540,transit,2008,1566,1.28,6350,Proper name Alef,238.0322,15.61553,15.4574,0
HAT-P-11b,0.084,0.389,4.88780244,0.05254,838,transit,2008,123.32,0.81,4780,Also known as Kepler-3b,26.6952,4.36069,23.80804,0
HAT-P-12b,0.211,0.959,3.2130598,0.0384,963,transit,2009,464.79,0.73,4650,,67.0558,10.75039,15.368,0
HAT-P-13b,0.851,1.272,2.91625,0.04383,1740,transit,2009,698,1.22,5653,,270.4478,14.25912,16.4766,0
HAT-P-13c,14.28,,446.27,1.258,340,radial vel.,2009,698,1.22,5653,,4538.184,2.32047,61.54700889,1
HD 142 b,1.25,,349.7,1.02,1093.7,radial vel.,2001,85.49,1.23,6245,,397.25,2.32047,49.71812,0
HD 2039 b,6.29,,1120,2.2,1093.7,radial vel.,2002,280.18,1.23,5945,,1998.962,2.32047,30.11812,0
HD 2638 b,0.42,,3.4442,0.04,1093.7,radial vel.,2005,179.55,0.77,5186,,133.476,2.32047,30.91812,0
HD 4113 b,1.56,,526.62,1.28,1093.7,radial vel.,2007,136.73,0.99,5688,,495.768,2.32047,48.91812,0
HD 4203 b,2.23,,431.88,1.17,1093.7,radial vel.,2001,266.05,1.25,5596,,708.694,2.32047,46.31812,0
HD 4208 b,0.81,,832.97,1.662,1093.7,radial vel.,2001,111.65,0.88,5717,Proper name Xolotlan,257.418,2.32047,39.07812,0
HD 4308 b,0.05,,15.56,0.12,1093.7,radial vel.,2005,71.85,0.93,5686,,15.89,2.32047,35.71812,0
HD 4313 b,1.927,,356.21,1.157,1093.7,radial vel.,2009,446.26,1.63,4943,,612.4006,2.32047,38.97812,0
HD 5319 b,1.556,,637.1,1.57,1093.7,radial vel.,2007,397.37,1.27,4871,,494.4968,2.32047,37.91812,0
HD 6434 b,0.49,,21.998,0.14,1093.7,radial vel.,2003,138.33,1.1,5769,Proper name Eyeke,155.722,2.32047,35.51812,0
HD 6718 b,1.68,,2496,3.55,1093.7,radial vel.,2009,167.72,1.08,5801,,533.904,2.32047,33.11812,0
HD 7924 b,0.02,,5.39792,0.06,826,radial vel.,2008,55.45,0.65,5131,,6.356,2.32047,38.20612,0
HD 8574 b,2.03,,227,0.76,1093.7,radial vel.,2002,146.38,1.34,6064,Proper name Bélisama,645.134,2.32047,43.11812,0
HD 8673 b,14.2,,1634,3.02,1093.7,radial vel.,2009,123.62,1.35,6472,,4512.76,2.32047,27.71812,0
HD 9446 b,0.7,,30.052,0.189,1093.7,radial vel.,2009,164.45,1,5793,,222.46,2.32047,38.49812,0
HD 9446 c,1.82,,192.9,0.654,1093.7,radial vel.,2009,164.45,1,5793,,578.396,2.32047,47.79812,0
HD 11506 b,4.83,,1622.1,2.9,1093.7,radial vel.,2007,167.45,1.24,6030,[9],1534.974,2.32047,29.91812,0
HD 11964 b,0.622,,1945,3.16,1093.7,radial vel.,2005,109.49,1.12,5349,,197.6716,2.32047,32.31812,0
HD 11964 c,0.0788,,37.91,0.229,1093.7,radial vel.,2008,109.49,1.12,5349,,25.04264,2.32047,36.89812,0
HD 12661 b,2.43,,262.70862,0.84,1093.7,radial vel.,2000,123.58,1.2,5645,,772.254,2.32047,47.51812,0
HD 12661 c,1.812,,1708,2.8145,1093.7,radial vel.,2002,123.58,1.2,5645,,575.8536,2.32047,30.71812,0
HD 13189 b,10.95,,471.6,1.25,1093.7,radial vel.,2005,1646,2.24,4175,,3479.91,2.32047,29.71812,0
HD 13931 b,2.2,,4218,5.15,1093.7,radial vel.,2009,154.8,1.3,5867,,699.16,2.32047,28.71812,0
HD 16175 b,5.1,,990,2.12,1093.7,radial vel.,2009,195.57,1.63,5981,Proper name Abol,1620.78,2.32047,22.11812,0
HD 16417 b,0.0696,,17.24,0.14,1093.7,radial vel.,2008,82.88,1.2,5841,,22.11888,2.32047,33.51812,0
HD 17092 b,10.13,,359.9,1.31,1093.7,radial vel.,2007,749.83,6.73,4326,,3219.314,2.32047,28.51812,0
HD 17156 b,3.51,1.1,21.21663,0.16278,883,radial vel.,2007,255.26,1.41,6040,[9] Proper name Mulchatna,1115.478,12.331,15.0556,0
HD 20782 b,1.4878,,597.0643,1.3649,1093.7,radial vel.,2006,117.49,1.07,5790,Has the most eccentric orbit of any known exoplanet[10],472.82284,2.32047,46.02012,0
HD 20868 b,1.25,,380.85001,0.95,1093.7,radial vel.,2008,155.88,0.39,4802,Proper name Baiduri,397.25,2.32047,41.51812,0
HD 23079 b,2.61,,730.6,1.6,1093.7,radial vel.,2001,109.23,1.12,5974,Proper name Guarani,829.458,2.32047,40.31812,0
HD 23127 b,1.527,,1211.17,2.37,1093.7,radial vel.,2006,306.96,1.21,5843,,485.2806,2.32047,30.51812,0
HD 23596 b,9.03,,1561,2.77,1093.7,radial vel.,2003,169.87,1.47,6040,,2869.734,2.32047,25.31812,0
HD 24040 b,3.86,,3668,4.92,1093.7,radial vel.,2006,152.25,1.11,5802,,1226.708,2.32047,32.51812,0
HD 27894 b,0.665,,18.02,0.125,1093.7,radial vel.,2005,143.12,0.8,4894,,211.337,2.32047,33.21812,0
HD 28185 b,5.9,,379,1.02,1093.7,radial vel.,2001,128.61,1.02,5662,,1875.02,2.32047,53.91812,1
HD 30177 b,8.622,,2527.83,3.704,1093.7,radial vel.,2002,181.61,1.05,5607,,2740.0716,2.32047,33.71812,0
HD 30562 b,1.22,,1157,2.34,1093.7,radial vel.,2009,85.39,1.12,5882,,387.716,2.32047,32.31812,0
HD 32518 b,3.04,,157.54,0.59,1093.7,radial vel.,2009,399.72,1.13,4580,Proper name Neri,966.112,2.32047,43.91812,0
HD 33283 b,0.329,,18.1991,0.1508,1093.7,radial vel.,2006,293.88,1.38,5935,,104.5562,2.32047,30.13412,0
HD 33564 b,9.1,,388,1.1,1093.7,radial vel.,2005,68.4,1.25,6250,,2891.98,2.32047,47.71812,0
HD 34445 b,0.82,,1049,2.07,1093.7,radial vel.,2009,150.53,1.14,5879,,260.596,2.32047,31.91812,0
HD 37124 b,0.675,,154.378,0.53364,1093.7,radial vel.,2002,103.36,0.85,5492,,214.515,2.32047,42.39092,0
HD 37124 c,0.652,,885.5,1.71,1093.7,radial vel.,2002,103.36,0.85,5492,,207.2056,2.32047,37.51812,0
HD 37124 d,0.696,,1862,2.807,1093.7,radial vel.,2005,103.36,0.85,5492,,221.1888,2.32047,31.71812,0
HD 37605 b,2.69,,55.01292,0.277,1093.7,radial vel.,2004,152.81,0.94,5329,,854.882,2.32047,39.05812,0
HD 38529 b,0.797,,14.30944,0.1294,1093.7,radial vel.,2000,138.33,1.41,5541,,253.2866,2.32047,29.10612,0
HD 38529 c,12.99,,2136.1,3.64,1093.7,radial vel.,2000,138.33,1.41,5541,,4128.222,2.32047,26.51812,0
HD 38801 b,9.698,,685.25,1.623,1093.7,radial vel.,2009,299.03,1.21,5338,,3082.0244,2.32047,38.05812,0
HD 40307 b,0.0126,,4.3123,0.0468,910,radial vel.,2008,42.21,0.77,4956,[11],4.00428,2.32047,45.04556,0
HD 40307 c,0.0208,,9.6184,0.0799,696,radial vel.,2008,42.21,0.77,4956,[11],6.61024,2.32047,40.49564,0
HD 40307 d,0.0299,,20.432,0.1321,541,radial vel.,2008,42.21,0.77,4956,[11],9.50222,2.32047,38.18623556,0
HD 40979 b,4.67,,264.15,0.85,1093.7,radial vel.,2002,111.29,1.45,6165,,1484.126,2.32047,42.71812,0
HD 41004 Ab,2.54,,963,0.117,1093.7,radial vel.,2004,140.35,0.7,5010,,807.212,2.32047,31.05812,0
HD 41004 Bb,18.37,,1.3283,0.117,1093.7,radial vel.,2003,140.35,0.4,5600,,5837.986,2.32047,25.05812,0
HD 43691 b,2.55,,36.9987,0.238,1093.7,radial vel.,2007,279.88,1.32,6093,,810.39,2.32047,33.07812,0
HD 45350 b,1.79,,963.6,1.92,1093.7,radial vel.,2004,153.1,1.02,5616,Proper name Peitruss,568.862,2.32047,35.91812,0
HD 45364 b,0.1872,,226.93,0.6813,1093.7,radial vel.,2008,112.17,0.82,5434,,59.49216,2.32047,44.74412,0
HD 45364 c,0.6579,,342.85,0.8972,1093.7,radial vel.,2008,112.17,0.82,5434,,209.08062,2.32047,49.06212,0
HD 45652 b,0.433,,44.073,0.237,1093.7,radial vel.,2008,113.8,0.92,5294,Proper name Viriato,137.6074,2.32047,37.85812,0
HD 46375 b,0.226,,3.023573,0.0398,1093.7,radial vel.,2000,96.48,0.92,5285,,71.8228,2.32047,33.91412,0
HD 47186 b,0.07,,4.0845,0.05,1093.7,radial vel.,2008,122.31,0.96,5657,,22.246,2.32047,34.91812,0
HD 47186 c,0.35061,,1353.6,2.395,1093.7,radial vel.,2008,122.31,0.96,5657,,111.423858,2.32047,33.91812,0
HD 47536 b,7.32,,712.13,1.93,1093.7,radial vel.,2002,401.02,0.91,4424,,2326.296,2.32047,34.31812,0
HD 48265 b,1.525,,778.51,1.814,1093.7,radial vel.,2008,296.09,1.31,5733,Proper name Naqaỹa,484.645,2.32047,32.23812,0
HD 49674 b,0.1,,4.94737,0.06,1093.7,radial vel.,2002,140.55,1.03,5602,Proper name Eburonia,31.78,2.32047,35.31812,0
HD 50499 b,1.636,,2447.1,3.833,1093.7,radial vel.,2005,151.18,1.25,6102,,519.9208,2.32047,29.71812,0
HD 50554 b,4.954,,1293,2.353,1093.7,radial vel.,2002,101.73,1.04,5987,,1574.3812,2.32047,33.91812,0
HD 52265 b,1.21,,119.27,0.52,405,radial vel.,2000,97.88,1.2,6136,Proper name Cayahuanca,384.538,2.32047,52.99312,1
HD 59686 b,6.92+0.18−0.24,,11.829851,0.117,1093.7,radial vel.,2003,1361.5,0.97,5600,[5],282.842,2.32047,36.45812,0
HD 60532 b,1.06,,201.9,0.77,1093.7,radial vel.,2008,84.77,1.5,6245,,336.868,2.32047,40.11812,0
HD 60532 c,2.51,,600.1,1.6,1093.7,radial vel.,2008,84.77,1.5,6245,,797.678,2.32047,32.71812,0
HD 63454 b,0.25,1.098,2.81805,0.04,1093.7,radial vel.,2005,123.06,0.42,4812,Proper name Ibirapitá,79.45,12.30858,9.2,0
HD 63765 b,0.53,,358,0.94,1093.7,radial vel.,2009,106.23,0.65,5449,Proper name Yvaga,168.434,2.32047,46.51812,0
HD 65216 b,1.295,,577.6,1.301,1093.7,radial vel.,2003,114.68,0.87,5612,,411.551,2.32047,46.09812,0
HD 66428 b,3.204,,2263.12,3.467,1093.7,radial vel.,2005,174.04,1.08,5773,,1018.2312,2.32047,33.11812,0
HD 68988 b,1.97,,6.27711,0.07,1093.7,radial vel.,2001,198.8,1.28,5932,Proper name Albmi,626.066,2.32047,30.51812,0
HD 69830 b,0.0321,,8.667,0.0785,1093.7,radial vel.,2006,40.97,0.86,5385,,10.20138,2.32047,35.08536,0
HD 69830 c,0.0371,,31.56,0.186,1093.7,radial vel.,2006,40.97,0.86,5385,,11.79038,2.32047,35.63812,0
HD 69830 d,0.057,,197,0.63,1093.7,radial vel.,2006,40.97,0.86,5385,,18.1146,2.32047,44.51812,0
HD 70573 b,6.1,,851.8,1.76,1093.7,radial vel.,2007,149.06,1,5737,,1938.58,2.32047,39.51812,0
