Name,mass_mj,radius_rj,period_days,semi_major_axis_au,temp_k,discovery_method,disc_year,distance_ly,star_mass_solar,star_temp_k,remarks,mass_earth,radius_earth,habitability_score,habitability_label
PH2b,,0.903,282.5255,0.828,281,transit,,1361.5,0.94,5629,[59]Also called Kepler-86b,282.842,10.12263,3,1
Kepler-51d,0.024,0.865,130.194,0.509,1093.7,transit,,1361.5,1.04,6018,[37],7.6272,9.69665,3,1
Kepler-80d,0.02124,0.136,3.07222,0.0372,1093.7,transit,,1160,0.73,4540,[37],6.750072,1.52456,3,1
Kepler-80e,0.01299,0.143,4.64489,0.0491,1093.7,transit,,1160,0.73,4540,[37],4.128222,1.60303,3,1
Kepler-93b,0.01265,0.132,4.72673978,0.053,1037,transit,,1361.5,0.91,5669,[38],4.02017,1.47972,3,1
Kepler-97b,0.011,0.132,2.58664,0.117,1093.7,transit,,1361.5,0.94,5779,[38],3.4958,1.47972,3,1
Kepler-98b,0.011,0.178,1.54168,0.117,1093.7,transit,,1361.5,0.99,5539,[38],3.4958,1.99538,3,1
Kepler-99b,0.019,0.132,4.60358,0.117,1093.7,transit,,1361.5,0.79,4782,[38],6.0382,1.47972,3,1
Kepler-100b,0.023,0.118,6.88705,0.117,1093.7,transit,,1361.5,1.08,5825,[38][37],7.3094,1.32278,3,1
Kepler-101c,0.01,0.112,6.02976,0.0684,1093.7,transit,,1361.5,1.17,5667,[37],3.178,1.25552,3,1
Kepler-102d,0.012,0.105,10.3117,0.117,1093.7,transit,,1361.5,0.81,4909,[38][37],3.8136,1.17705,3,1
Kepler-105c,0.01447,0.117,7.1262,0.117,1093.7,transit,,1361.5,0.96,5827,[37],4.598566,1.31157,3,1
Kepler-131c,0.026,0.075,25.5169,0.117,1093.7,transit,,1361.5,1.02,5685,[38][37],8.2628,0.84075,3,1
Kepler-338e,0.027,0.139,9.341,0.117,1093.7,timing,,1361.5,1.1,5923,?,8.5806,1.55819,3,1
Kepler-406b,0.02,0.128,2.42629,0.117,1093.7,transit,,1361.5,1.07,5538,[38],6.356,1.43488,3,1
Kepler-406c,0.009,0.076,4.62332,0.117,1093.7,transit,,1361.5,1.07,5538,[38],2.8602,0.85196,3,1
Kepler-414b,0.011,0.153,4.7,0.117,1093.7,timing,,1361.5,0.89,5600,[43],3.4958,1.71513,3,1
Kepler-453b,0.00063,0.553,240.503,0.7903,1093.7,transit,,1361.5,0.94,5527,[52],0.200214,6.19913,3,1
HD 219134 b,0.01491,0.143,3.092926,0.03876,1093.7,radial vel.,,21.4,0.81,4699,[38],4.738398,1.60303,3,1
HD 219134 c,0.01372,0.135,6.76458,0.0653,1093.7,radial vel.,,21.4,0.81,4699,[38],4.360216,1.51335,3,1
HD 219134 f,0.02297,0.117,22.717,0.1463,1093.7,radial vel.,,21.4,0.81,4699,[38]Controversial,7.299866,1.31157,3,1
Kepler-452b,,0.145,384.843,1.046,265,transit,,1361.5,1.04,5757,Potentially habitable exoplanet[68],282.842,1.62545,4,1
WASP-41c,3.18,,421,1.07,241,radial vel.,,590,0.93,5545,[77],1010.604,2.32047,3,1
WASP-47c,1.57,,580.7,1.41,247,radial vel.,,650,1.11,5576,[77],498.946,2.32047,3,1
WASP-47e,0.02863,0.162,0.789636,0.0173,1093.7,transit,,650,1.11,5576,[78][77],9.098614,1.81602,3,1
HD 42618 b [id],0.04531,,149.61,0.554,337,radial vel.,,77,1.01,5727,[22],14.399518,2.32047,3,1
TRAPPIST-1c,0.00434,0.094,2.4218233,0.01521,342,transit,,39,0.08,2559,[81],1.379252,1.05374,3,1
TRAPPIST-1d,0.00129,0.069,4.04961,0.02144,288,transit,,39,0.08,2559,Potentially habitable exoplanet[81],0.409962,0.77349,3,1
HD 20794 e,0.015,,147.02,0.509,1093.7,radial vel.,,19.8,0.7,5401,[16],4.767,2.32047,3,1
K2-106b,0.0263,0.136,0.571292,0.0116,2333,transit,,798,0.95,5470,[34] Host star also known as EPIC 220674823,8.35814,1.52456,3,1
K2-111b,0.0271,0.17,5.35117,0.0621,1309,transit,,680,0.88,5730,[36],8.61238,1.9057,3,1
K2-131b,0.017,0.152,0.36931,0.0095,2062,transit,,501,0.84,5245,[40],5.4026,1.70392,3,1
LHS 1140 b,0.0209,0.128,24.73712,0.0875,254,transit,,40.7,0.18,3216,Potentially habitable exoplanet[64],6.64202,1.43488,3,1
TRAPPIST-1e,0.00195,0.082,6.099615,0.02817,251,transit,,39,0.08,2559,Potentially habitable exoplanet[87],0.61971,0.91922,3,1
TRAPPIST-1f,0.00214,0.093,9.20669,0.0371,219,transit,,39,0.08,2559,Potentially habitable exoplanet[87],0.680092,1.04253,3,1
